"Date","Price","Open","High","Low","Vol.","Change %"
"07/31/2020","3,271.12","3,270.45","3,272.17","3,220.26","","0.77%"
"07/30/2020","3,246.22","3,231.76","3,250.92","3,204.13","","-0.38%"
"07/29/2020","3,258.44","3,227.22","3,264.74","3,227.22","","1.24%"
"07/28/2020","3,218.44","3,234.27","3,243.72","3,216.17","","-0.65%"
"07/27/2020","3,239.41","3,219.84","3,241.43","3,214.25","","0.74%"
"07/24/2020","3,215.63","3,218.58","3,227.26","3,200.05","","-0.62%"
"07/23/2020","3,235.66","3,271.64","3,279.99","3,222.66","","-1.23%"
"07/22/2020","3,276.02","3,254.86","3,279.32","3,253.10","","0.57%"
"07/21/2020","3,257.30","3,268.52","3,277.29","3,247.77","","0.17%"
"07/20/2020","3,251.84","3,224.29","3,258.61","3,215.16","","0.84%"
"07/17/2020","3,224.73","3,224.21","3,233.52","3,205.65","","0.28%"
"07/16/2020","3,215.57","3,208.36","3,220.39","3,198.59","","-0.34%"
"07/15/2020","3,226.56","3,225.98","3,238.28","3,200.76","","0.91%"
"07/14/2020","3,197.52","3,141.11","3,200.95","3,127.66","","1.34%"
"07/13/2020","3,155.22","3,205.08","3,235.32","3,149.43","","-0.94%"
"07/10/2020","3,185.04","3,152.47","3,186.82","3,136.22","","1.05%"
"07/09/2020","3,152.05","3,176.17","3,179.78","3,115.70","","-0.56%"
"07/08/2020","3,169.94","3,153.07","3,171.80","3,136.53","","0.78%"
"07/07/2020","3,145.32","3,166.44","3,184.15","3,142.93","","-1.08%"
"07/06/2020","3,179.72","3,155.29","3,182.59","3,155.29","","1.59%"
"07/02/2020","3,130.01","3,143.64","3,165.81","3,124.52","","0.45%"
"07/01/2020","3,115.86","3,105.92","3,128.44","3,101.17","","0.50%"
"06/30/2020","3,100.29","3,050.20","3,111.51","3,047.83","","1.54%"
"06/29/2020","3,053.24","3,018.59","3,053.89","2,999.74","","1.47%"
"06/26/2020","3,009.05","3,073.20","3,073.73","3,004.63","","-2.42%"
"06/25/2020","3,083.76","3,046.60","3,086.25","3,024.01","","1.10%"
"06/24/2020","3,050.33","3,114.40","3,115.01","3,032.13","","-2.59%"
"06/23/2020","3,131.29","3,138.70","3,154.90","3,127.12","","0.43%"
"06/22/2020","3,117.86","3,094.42","3,120.92","3,079.39","","0.65%"
"06/19/2020","3,097.74","3,140.29","3,155.53","3,083.11","","-0.56%"
"06/18/2020","3,115.34","3,101.64","3,120.00","3,093.51","","0.06%"
"06/17/2020","3,113.49","3,136.13","3,141.16","3,108.03","","-0.36%"
"06/16/2020","3,124.74","3,131.00","3,153.45","3,076.06","","1.90%"
"06/15/2020","3,066.59","2,993.76","3,079.76","2,965.66","","0.83%"
"06/12/2020","3,041.31","3,071.04","3,088.42","2,984.47","","1.31%"
"06/11/2020","3,002.10","3,123.53","3,123.53","2,999.49","","-5.89%"
"06/10/2020","3,190.14","3,213.42","3,223.27","3,181.49","","-0.53%"
"06/09/2020","3,207.18","3,213.32","3,222.71","3,193.11","","-0.78%"
"06/08/2020","3,232.39","3,199.92","3,233.13","3,196.00","","1.20%"
"06/05/2020","3,193.93","3,163.84","3,211.72","3,163.84","","2.62%"
"06/04/2020","3,112.35","3,111.56","3,128.91","3,090.41","","-0.34%"
"06/03/2020","3,122.87","3,098.90","3,130.94","3,098.90","","1.36%"
"06/02/2020","3,080.82","3,064.78","3,081.07","3,051.64","","0.82%"
"06/01/2020","3,055.73","3,038.78","3,062.18","3,031.54","","0.38%"
"05/29/2020","3,044.31","3,025.17","3,049.17","2,998.61","","0.48%"
"05/28/2020","3,029.73","3,046.61","3,068.67","3,023.40","","-0.21%"
"05/27/2020","3,036.13","3,015.65","3,036.25","2,969.75","","1.48%"
"05/26/2020","2,991.77","3,004.08","3,021.72","2,988.17","","1.23%"
"05/22/2020","2,955.45","2,948.05","2,956.76","2,933.59","","0.24%"
"05/21/2020","2,948.51","2,969.95","2,978.50","2,938.57","","-0.78%"
"05/20/2020","2,971.61","2,953.63","2,980.29","2,953.63","","1.67%"
"05/19/2020","2,922.94","2,948.59","2,964.21","2,922.35","","-1.05%"
"05/18/2020","2,953.91","2,913.86","2,968.09","2,913.86","","3.15%"
"05/15/2020","2,863.70","2,829.95","2,865.01","2,816.78","","0.39%"
"05/14/2020","2,852.50","2,794.54","2,852.80","2,766.64","","1.15%"
"05/13/2020","2,820.00","2,865.86","2,874.14","2,793.15","","-1.75%"
"05/12/2020","2,870.12","2,939.50","2,945.82","2,869.59","","-2.05%"
"05/11/2020","2,930.32","2,915.46","2,944.25","2,903.44","","0.02%"
"05/08/2020","2,929.80","2,908.83","2,932.16","2,902.88","","1.69%"
"05/07/2020","2,881.19","2,878.26","2,901.92","2,876.48","","1.15%"
"05/06/2020","2,848.42","2,883.14","2,891.11","2,847.65","","-0.70%"
"05/05/2020","2,868.44","2,868.88","2,898.23","2,863.55","","0.90%"
"05/04/2020","2,842.74","2,815.01","2,844.24","2,797.85","","0.42%"
"05/01/2020","2,830.71","2,869.09","2,869.09","2,821.61","","-2.81%"
"04/30/2020","2,912.43","2,930.91","2,930.91","2,892.47","","-0.92%"
"04/29/2020","2,939.51","2,918.46","2,954.86","2,912.16","","2.66%"
"04/28/2020","2,863.39","2,909.96","2,921.15","2,860.71","","-0.52%"
"04/27/2020","2,878.48","2,854.65","2,887.72","2,852.89","","1.47%"
